ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
MENDOZA OBSERVATORIO,TEMP.MIN,18.2,16.9,15.1,10.8,7.0,3.9,3.1,5.1,7.4,11.5,14.5,17.3
MENDOZA OBSERVATORIO,PRECIPITACIONES,40.0,43.0,38.7,19.6,12.9,8.7,10.9,10.4,18.8,13.7,20.7,28.0
SAN LUIS AERO,TEMP.MAX,31.1,30.0,27.3,23.3,19.7,17.0,16.6,19.3,21.8,25.8,28.4,30.5
SAN LUIS AERO,TEMP.MIN,17.9,17.0,15.3,11.3,7.7,4.5,3.7,5.9,8.5,12.5,15.0,17.1
SAN LUIS AERO,PRECIPITACIONES,119.5,97.5,98.9,41.4,19.8,5.7,11.2,8.6,24.3,40.5,80.4,110.1
VILLA REYNOLDS AERO,TEMP.MAX,30.8,30.0,27.7,23.9,20.3,17.4,16.9,19.7,22.0,25.2,27.8,30.0
VILLA REYNOLDS AERO,TEMP.MIN,15.2,14.3,12.7,8.3,4.4,1.0,-0.1,1.6,4.4,8.9,11.8,14.3
VILLA REYNOLDS AERO,PRECIPITACIONES,103.7,85.7,94.6,55.0,28.5,9.5,18.8,17.1,35.2,58.8,85.9,113.1
RÍO CUARTO AERO,TEMP.MAX,28.9,28.0,26.3,22.7,19.0,15.9,15.5,18.2,20.5,24.0,26.5,28.3
RÍO CUARTO AERO,TEMP.MIN,17.5,16.6,15.2,11.5,8.0,4.9,4.0,5.6,7.9,11.6,14.3,16.6
RÍO CUARTO AERO,PRECIPITACIONES,144.5,90.6,107.8,64.7,31.5,8.4,14.5,13.9,40.1,75.4,128.7,138.6
MARCOS JUÁREZ AERO,TEMP.MAX,30.8,29.1,27.7,24.0,20.4,17.0,16.7,19.6,21.7,25.3,28.1,29.9
MARCOS JUÁREZ AERO,TEMP.MIN,17.5,16.4,15.1,11.5,8.1,5.0,3.8,5.1,7.2,11.3,14.2,16.5
MARCOS JUÁREZ AERO,PRECIPITACIONES,114.3,115.0,108.1,96.3,36.8,15.8,17.0,21.2,43.1,94.6,101.1,148.3
ROSARIO AERO,TEMP.MAX,30.8,29.2,27.4,23.5,19.9,16.6,16.2,18.9,20.9,24.2,27.1,29.6
ROSARIO AERO,TEMP.MIN,18.4,17.5,16.0,12.1,8.7,6.0,4.8,6.2,8.3,12.0,14.7,17.2
ROSARIO AERO,PRECIPITACIONES,111.8,120.6,144.8,111.8,59.0,27.7,24.7,32.4,47.4,108.5,112.3,120.6
GUALEGUAYCHÚ AERO,TEMP.MAX,31.6,29.8,28.2,23.9,20.2,17.1,16.7,19.2,20.6,24.0,27.0,29.9
GUALEGUAYCHÚ AERO,TEMP.MIN,18.8,18.0,16.5,12.6,9.3,6.7,6.0,7.4,9.0,12.1,14.7,17.0
GUALEGUAYCHÚ AERO,PRECIPITACIONES,109.6,102.5,131.6,113.9,82.7,56.0,50.6,54.4,71.0,110.1,119.9,116.5
MALARGÜE AERO,TEMP.MAX,28.5,27.1,24.7,19.9,15.0,12.1,11.4,13.7,16.3,20.6,24.3,27.2
MALARGÜE AERO,TEMP.MIN,11.2,10.5,8.8,4.4,1.0,-1.1,-2.4,-1.2,0.9,4.4,7.2,10.1
MALARGÜE AERO,PRECIPITACIONES,25.0,26.4,33.5,22.9,26.9,38.7,34.1,30.1,23.9,19.6,22.3,29.6
SAN RAFAEL AERO,TEMP.MAX,31.1,30.0,27.0,22.5,18.5,15.8,15.2,17.6,19.8,24.2,27.5,30.2
SAN RAFAEL AERO,TEMP.MIN,15.4,14.5,12.8,8.4,4.8,2.0,0.9,2.4,4.7,8.3,11.2,14.0
SAN RAFAEL AERO,PRECIPITACIONES,61.0,42.8,37.2,26.1,15.6,9.1,13.2,16.0,27.4,30.5,38.6,45.3
GENERAL PICO AERO,TEMP.MAX,30.7,29.7,27.2,22.9,18.7,15.2,14.8,17.7,20.2,23.6,27.0,29.7
GENERAL PICO AERO,TEMP.MIN,16.9,15.8,14.4,10.3,6.6,3.6,2.6,4.1,6.5,10.2,13.2,15.8
GENERAL PICO AERO,PRECIPITACIONES,111.2,102.7,143.8,70.4,32.8,17.4,22.0,24.9,55.2,87.2,99.8,124.4
LABOULAYE AERO,TEMP.MAX,30.3,29.3,27.1,23.0,19.3,15.9,15.5,18.3,20.7,23.8,26.9,29.3
LABOULAYE AERO,TEMP.MIN,16.7,15.6,14.2,10.4,6.9,3.8,2.7,3.9,6.2,10.2,13.1,15.7
LABOULAYE AERO,PRECIPITACIONES,120.7,105.7,138.8,83.4,36.0,11.7,17.6,17.2,47.3,91.0,105.0,128.7
PEHUAJÓ AERO,TEMP.MAX,29.6,28.3,26.1,22.0,17.9,14.4,14.0,16.7,18.8,22.0,25.3,28.3
PEHUAJÓ AERO,TEMP.MIN,16.1,14.9,13.4,9.9,6.7,3.9,3.0,4.2,6.3,9.9,12.5,14.9
PEHUAJÓ AERO,PRECIPITACIONES,119.6,101.2,149.3,79.9,49.0,25.8,24.0,28.8,63.6,116.1,104.3,107.0
JUNÍN AERO,TEMP.MAX,29.8,28.4,26.6,22.6,19.0,15.5,15.0,17.7,19.7,22.7,26.0,28.8
JUNÍN AERO,TEMP.MIN,16.6,15.8,14.2,10.4,7.2,4.5,3.6,4.8,6.7,10.1,12.8,15.2
JUNÍN AERO,PRECIPITACIONES,132.3,118.8,133.2,109.1,61.2,26.8,31.5,32.4,55.3,122.8,110.7,110.0
NUEVE DE JULIO,TEMP.MAX,30.5,29.1,26.8,22.5,18.7,15.0,14.5,17.2,19.4,22.6,26.1,29.1
NUEVE DE JULIO,TEMP.MIN,16.7,15.9,14.3,10.6,7.5,4.8,4.0,5.3,7.0,10.3,12.9,15.3
NUEVE DE JULIO,PRECIPITACIONES,127.9,114.2,144.8,110.3,60.8,38.4,38.3,35.2,61.7,113.0,108.8,106.9
SAN MIGUEL,TEMP.MAX,30.1,28.5,26.7,22.6,19.0,15.7,15.2,17.6,19.3,22.6,25.5,28.4
SAN MIGUEL,TEMP.MIN,18.6,17.8,16.1,12.2,9.0,6.6,6.0,7.2,9.0,11.9,14.6,17.1
SAN MIGUEL,PRECIPITACIONES,116.3,128.6,118.0,110.1,74.1,51.4,59.7,58.6,,124.9,121.5,108.4
EL PALOMAR AERO,TEMP.MAX,29.9,28.5,26.5,22.5,18.9,15.7,15.1,17.4,19.2,22.3,25.2,28.3
EL PALOMAR AERO,TEMP.MIN,18.1,17.3,15.5,11.4,7.9,5.5,4.8,6.2,8.0,11.2,13.7,16.4
EL PALOMAR AERO,PRECIPITACIONES,117.5,115.0,121.9,104.3,78.9,49.7,50.3,54.5,57.2,117.7,106.6,105.9
EZEIZA AERO,TEMP.MAX,30.2,28.5,26.7,22.5,18.8,15.6,14.9,17.3,19.0,22.2,25.4,28.5
